K_01;Barus;01
K_02;Bukit;01
K_03;Gurusinga;01
K_04;Jung;01
K_05;Kaban;01
K_06;Kacaribu;01
K_07;Karo Sekali;01
K_08;Kemit;01
K_09;Ketaren;01
K_10;Purba;01
K_11;Samura;01
K_12;Sinubulan;01
K_13;Sinuhaji;01
K_14;Sinukaban;01
K_15;Sinulingga;01
K_16;Sinuraya;01
K_17;Sitepu;01
K_18;Surbakti;01
G_01;Ajartambun;02
G_02;Babo;02
G_03;Beras;02
G_04;Capah;02
G_05;Garamata;02
G_06;Gurupati;02
G_07;Jadibata;02
G_08;Jawak;02
G_09;Manik;02
G_10;Pase;02
G_11;Seragih;02
G_12;Sugihen;02
G_13;Sinusinga;02
G_14;Suka;02
G_15;Munthe;02
G_16;Tumangger;02
T_01;Bondong;03
T_02;Gana-gana;03
T_03;Gerneng;03
T_04;Gersang;03
T_05;Jampang;03
T_06;Pekan;03
T_07;Sibero;03
T_08;Silangit;03
T_09;Tambak;03
T_10;Tambun;03
T_11;Tegor;03
T_12;Tendang;03
T_13;Tua;03
S_01;Berahmana;04
S_02;Bunuhaji;04
S_03;Busok;04
S_04;Colia;04
S_05;Depari;04
S_06;Gurukinayan;04
S_07;Kapour;04
S_08;Keling;04
S_09;Keloko;04
S_10;Kembaren;04
S_11;Meliala;04
S_12;Muham;04
S_13;Pandebayang;04
S_14;Pandia;04
S_15;Pelawi;04
S_16;Sinulaki;04
S_17;Sinupayung;04
S_18;Tekang;04
S_19;Maha;04
P_01;Bangun;05
P_02;Banjerang;05
P_03;Kacinambun;05
P_04;Keliat;05
P_05;Laksa Bangun;05
P_06;Mano;05
P_07;Namohaji;05
P_08;Pencawan;05
P_09;Pinem;05
P_10;Sebayang;05
P_11;Singarimbun;05
P_12;Sinurat;05
P_13;Sukatendel;05
P_14;Tanjung;05
P_15;Teger;05
P_16;Ulun Jandi;05
P_17;Uwir;05
P_18;Perbesi;05
P_19;Penggarus;05
